OTUID,OTU_group,Treatment,n_replicates,occupancy,retained,mean_RA,median_RA_present,median_RA_D0,occupancy_D0,log10_shift_vs_D0
OTU_3191,Rare OTUs,D7,40,0,FALSE,0,0,3.0598819601823456e-5,0.2857142857142857,-0.5200804165703321
OTU_3192,Rare OTUs,D0,14,0.6428571428571429,TRUE,1.9516327359605536e-5,3.01923251109568e-5,3.01923251109568e-5,0.6428571428571429,0
OTU_3192,Rare OTUs,D1,14,0.42857142857142855,TRUE,1.7166996285335472e-5,3.0073843828861998e-5,3.01923251109568e-5,0.6428571428571429,-0.001186484094529483
OTU_3192,Rare OTUs,D3,20,0.1,TRUE,2.97752275460623e-6,2.97752275460623e-5,3.01923251109568e-5,0.6428571428571429,-0.004191318814827483
OTU_3192,Rare OTUs,D5,20,0.05,TRUE,1.590836780146355e-6,3.18167356029271e-5,3.01923251109568e-5,0.6428571428571429,0.015948368717408457
OTU_3192,Rare OTUs,D6,40,0.025,TRUE,7.5817310608358e-7,3.03269242433432e-5,3.01923251109568e-5,0.6428571428571429,0.0013439687523995048
OTU_3192,Rare OTUs,D7,40,0,FALSE,0,0,3.01923251109568e-5,0.6428571428571429,-0.5160342006553948
OTU_3193,Rare OTUs,D0,14,0.2857142857142857,TRUE,2.6227827791656715e-5,9.179739784446844e-5,9.179739784446844e-5,0.2857142857142857,0
OTU_3193,Rare OTUs,D1,14,0,FALSE,0,0,9.179739784446844e-5,0.2857142857142857,-0.8995931325054811
OTU_3193,Rare OTUs,D3,20,0,FALSE,0,0,9.179739784446844e-5,0.2857142857142857,-0.8995931325054811
OTU_3193,Rare OTUs,D5,20,0,FALSE,0,0,9.179739784446844e-5,0.2857142857142857,-0.8995931325054811
OTU_3193,Rare OTUs,D6,40,0,FALSE,0,0,9.179739784446844e-5,0.2857142857142857,-0.8995931325054811
OTU_3193,Rare OTUs,D7,40,0,FALSE,0,0,9.179739784446844e-5,0.2857142857142857,-0.8995931325054811
OTU_3194,Rare OTUs,D0,14,0.7142857142857143,TRUE,2.5737746496457223e-5,3.039323163704235e-5,3.039323163704235e-5,0.7142857142857143,0
