Cutoff_label,dominance_cutoff,n_subsample,Metric,Mean,SD,Median,Q2.5,Q97.5,N_iterations
0.1%,0.001,14,"Mean abundant decrease proportion, D1-D7",0.8236791263324934,0.010479639696029113,0.8239167006574439,0.8030085056812978,0.8428723083225165,1000
0.1%,0.001,14,"Mean abundant median log10 shift vs D0, D1-D7",-1.1525456710559998,0.05105525317641359,-1.1502894238654162,-1.2550848634154244,-1.058886218132455,1000
0.1%,0.001,14,"Mean rare decrease proportion, D1-D7",0.5498820514670233,0.012553292589341533,0.5498799767034148,0.5251569364542255,0.5748353382314237,1000
0.1%,0.001,14,"Mean rare median log10 shift vs D0, D1-D7",-0.015740085787795618,0.0049345407874788255,-0.017013970977951987,-0.021058655240109588,3.7743951779986524e-5,1000
0.1%,0.001,14,"Mean rare transient/lost proportion, D1-D7",0.8118033974072418,0.001387148829581938,0.8118015198927134,0.8090299508270005,0.8144836835046938,1000
0.1%,0.001,14,"Mean rare transient/lost proportion, D3-D7",0.9333952838623156,0.001733936036977425,0.9333929369691552,0.9299284756370139,0.9367456414841305,1000
0.1%,0.001,14,"Mean rare-minus-abundant transient/lost gap, D1-D7",0.19962339740724186,0.004020500312593525,0.19974478806843582,0.19185713414881944,0.20697579956922826,1000
0.1%,0.001,14,"Mean rare-minus-abundant transient/lost gap, D3-D7",0.1681702838623156,0.0050256253907419056,0.16832202218880804,0.1584624547892876,0.17736078656479862,1000
0.1%,0.001,14,"Mean retention gap: abundant minus rare, D1-D7",0.1674714926646889,0.0067958220173622635,0.16746941927093914,0.15395936115739423,0.1807955053440078,1000
0.1%,0.001,14,"Mean retention gap: abundant minus rare, D3-D7",0.19425219551347175,0.008494777521702829,0.19424960377128458,0.17736203112935345,0.2109072113626204,1000
0.1%,0.001,14,Rare transient/lost > abundant transient/lost in all diluted treatments,1,0,1,1,1,1000
0.1%,0.001,14,Rare transient/lost > abundant transient/lost in all stronger dilution treatments,1,0,1,1,1,1000
0.1%,0.001,14,Retention gap > 0 in all diluted treatments,1,0,1,1,1,1000
0.1%,0.001,14,Retention gap > 0 in all stronger dilution treatments,1,0,1,1,1,1000
0.1%,0.001,14,Spearman rho: abundant retained proportion vs dilution rank,-0.9642436896551263,0.030461947253139197,-0.9856107606091623,-0.9856107606091623,-0.9276336570439175,1000
0.1%,0.001,14,Spearman rho: rare retained proportion vs dilution rank,-0.941557684664994,0.06875535706817626,-0.9428571428571428,-1,-0.7714285714285715,1000
1%,0.01,8,"Mean abundant decrease proportion, D1-D7",0.8462552847152847,0.019239938821052936,0.8488095238095238,0.8025335497835498,0.8774531024531024,1000
1%,0.01,8,"Mean abundant median log10 shift vs D0, D1-D7",-1.5080796229915823,0.12681229769996935,-1.510910749258545,-1.7412698506309499,-1.255648086466313,1000
1%,0.01,8,"Mean rare decrease proportion, D1-D7",0.5424129346983709,0.0195963994777249,0.541242124115026,0.5048672713964509,0.5833070431221048,1000
1%,0.01,8,"Mean rare median log10 shift vs D0, D1-D7",-0.01637844892536707,0.009676683628966419,-0.018943155077486052,-0.028414127345641936,0.008412392932101248,1000
1%,0.01,8,"Mean rare transient/lost proportion, D1-D7",0.8236152514840451,0.0026424102650643793,0.8235964912280702,0.8187715851178097,0.8287075157686471,1000
1%,0.01,8,"Mean rare transient/lost proportion, D3-D7",0.9360900295518241,0.0024884207878927583,0.9360930725384251,0.931394899021697,0.9409968718079673,1000
1%,0.01,8,"Mean rare-minus-abundant transient/lost gap, D1-D7",0.3619262404950342,0.01939707140863182,0.36276022054267004,0.32590142905097597,0.39756891330838995,1000
1%,0.01,8,"Mean rare-minus-abundant transient/lost gap, D3-D7",0.3589787658155603,0.02414628150560144,0.35981666807964063,0.3125436363175762,0.40194308098578674,1000
1%,0.01,8,"Mean retention gap: abundant minus rare, D1-D7",0.3867658340230694,0.02785112691872724,0.3871662375362875,0.33269005927718437,0.44128168447188104,1000
1%,0.01,8,"Mean retention gap: abundant minus rare, D3-D7",0.4556866940940762,0.03482007368077129,0.45593731131485904,0.3884374052360255,0.523696402688885,1000
1%,0.01,8,Rare transient/lost > abundant transient/lost in all diluted treatments,1,0,1,1,1,1000
1%,0.01,8,Rare transient/lost > abundant transient/lost in all stronger dilution treatments,1,0,1,1,1,1000
1%,0.01,8,Retention gap > 0 in all diluted treatments,1,0,1,1,1,1000
1%,0.01,8,Retention gap > 0 in all stronger dilution treatments,1,0,1,1,1,1000
1%,0.01,8,Spearman rho: abundant retained proportion vs dilution rank,-0.9678176883802179,0.030527726879843897,-0.9856107606091623,-0.9856107606091623,-0.8827348295047496,1000
1%,0.01,8,Spearman rho: rare retained proportion vs dilution rank,-0.9735705538054338,0.04351886145733708,-1,-1,-0.8285714285714285,1000
1%,0.01,10,"Mean abundant decrease proportion, D1-D7",0.8547393939393939,0.016806723068212057,0.8571789321789322,0.8180700549450549,0.8817460317460317,1000
1%,0.01,10,"Mean abundant median log10 shift vs D0, D1-D7",-1.559071295311971,0.11717401879570992,-1.5614989959191914,-1.7799202737193207,-1.321127698907212,1000
1%,0.01,10,"Mean rare decrease proportion, D1-D7",0.5525189577321516,0.016155361752268105,0.5520827291762935,0.5228152894756771,0.584474541334829,1000
1%,0.01,10,"Mean rare median log10 shift vs D0, D1-D7",-0.01976887673853809,0.006308681190760669,-0.02116724859369503,-0.02801888315675371,-0.0010405153765433407,1000
1%,0.01,10,"Mean rare transient/lost proportion, D1-D7",0.80421827422967,0.002283782013825717,0.8043001507040561,0.8000860937145609,0.8088534592043806,1000
